7zip 25.01-1
kdesdk-thumbnailers 25.12.0-1
kdesu 6.21.0-1
kdnssd 6.21.0-1
kdoctools 6.21.0-1
kdsingleapplication 1.2.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-2
keyutils 1.6.3-3
kfilemetadata 6.21.0-1
kglobalaccel 6.21.0-1
kglobalaccel5 5.116.0-2
kglobalacceld 6.5.4-1
kguiaddons 6.21.0-1
kguiaddons5 5.116.0-2
kholidays 1:6.21.0-1
ki18n 6.21.0-1
ki18n5 5.116.0-2
kiconthemes 6.21.0-1
kiconthemes5 5.116.0-2
kidletime 6.21.0-1
kinit 5.116.0-1
kio 6.21.0-1
kio-extras 25.12.0-1
kio-fuse 5.1.1-1
kio5 5.116.0-5
kirigami 6.21.0-2
kirigami-addons 1.11.0-1
kirigami2 5.116.0-2
kitemmodels 6.21.0-1
kitemviews 6.21.0-1
kitemviews5 5.116.0-2
kitty 0.45.0-3
kitty-shell-integration 0.45.0-3
kitty-terminfo 0.45.0-3
kjobwidgets 6.21.0-1
kjobwidgets5 5.116.0-2
kmenuedit 6.5.4-1
kmod 34.2-1
knewstuff 6.21.0-1
knighttime 6.5.4-1
knotifications 6.21.0-1
knotifications5 5.116.0-3
knotifyconfig 6.21.0-1
kpackage 6.21.0-1
kparts 6.21.0-1
kpipewire 6.5.4-1
kpty 6.21.0-1
kquickcharts 6.21.0-1
krb5 1.21.3-2
krunner 6.21.0-1
kscreenlocker 6.5.4-1
kservice 6.21.0-1
kservice5 5.116.0-3
kstatusnotifieritem 6.21.0-1
ksvg 6.21.0-1
ksystemstats 6.5.4-1
ktexteditor 6.21.0-1
ktextwidgets 6.21.0-1
ktextwidgets5 5.116.0-2
kubectl 1.35.0-1
kunitconversion 6.21.0-1
kuserfeedback 6.21.0-1
kwallet 6.21.0-1
kwallet5 5.116.0-5
kwayland 6.5.4-1
kwidgetsaddons 6.21.0-1
kwidgetsaddons5 5.116.0-2
kwin 6.5.4-3
kwindowsystem 6.21.0-1
kwindowsystem5 5.116.0-2
kxmlgui 6.21.0-1
kxmlgui5 5.116.0-2
l-smash 2.14.5-4
labymod-appimage 2.1.10-2
ladspa 1.17-6
